name,work_aspect
Baseplate Main Panel - Fabrikasi,Fabrikasi
Kabel Main Panel - Cutting Harness,Cutting Harness
Main Panel - Fitting & Koneksi,Fitting & Koneksi
Baseplate Main Panel & H-Line Panel - Fabrikasi,Fabrikasi
Kabel Main Panel & H-Line Panel - Cutting Harness,Cutting Harness
Main Panel & H-Line Panel - Fitting & Koneksi,Fitting & Koneksi
Baseplate Main Panel & PIDS - Fabrikasi,Fabrikasi
Kabel Main Panel & PIDS - Cutting Harness,Cutting Harness
Main Panel & PIDS - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel AC M - Fabrikasi,Fabrikasi
Kabel Panel AC M - Cutting Harness,Cutting Harness
Panel AC M - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Distribusi & AC P - Fabrikasi,Fabrikasi
Kabel Panel Distribusi & AC P - Cutting Harness,Cutting Harness
Panel Distribusi & AC P - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Distribusi K1 - Fabrikasi,Fabrikasi
Kabel Panel Distribusi K1 - Cutting Harness,Cutting Harness
Panel Distribusi K1 - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Distribusi K3 - Fabrikasi,Fabrikasi
Kabel Panel Distribusi K3 - Cutting Harness,Cutting Harness
Panel Distribusi K3 - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Distribusi M - Fabrikasi,Fabrikasi
Kabel Panel Distribusi M - Cutting Harness,Cutting Harness
Panel Distribusi M - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel PIDS A - Fabrikasi,Fabrikasi
Kabel Panel PIDS A - Cutting Harness,Cutting Harness
Panel PIDS A - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel PIDS B - Fabrikasi,Fabrikasi
Kabel Panel PIDS B - Cutting Harness,Cutting Harness
Panel PIDS B - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Toilet K1 - Fabrikasi,Fabrikasi
Kabel Panel Toilet K1 - Cutting Harness,Cutting Harness
Panel Toilet K1 - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Toilet K3 - Fabrikasi,Fabrikasi
Kabel Panel Toilet K3 - Cutting Harness,Cutting Harness
Panel Toilet K3 - Fitting & Koneksi,Fitting & Koneksi
Baseplate Panel Underframe B - Fabrikasi,Fabrikasi
Kabel Panel Underframe B - Cutting Harness,Cutting Harness
Panel Underframe B - Fitting & Koneksi,Fitting & Koneksi
Baseplate PIDS M - Fabrikasi,Fabrikasi
Kabel PIDS M - Cutting Harness,Cutting Harness
PIDS M - Fitting & Koneksi,Fitting & Koneksi
Panel AC K1 - Fitting & Koneksi,Fitting & Koneksi
